reserva_id,origen_fila,event_date,grupo,customer_types,sin_tacc,status,reserved_at,canceled_at,checked_at,re_reserva,customer_id
G-00001,generado_ia,2026-07-01,Estudiantes,Estudiante de Grado,False,canceled,2026-07-01 08:00:01.035000-03:00,2026-07-01 08:17:05.078000-03:00,,False,
R-00115,real,2026-07-01,Becas Nutrirse,Becas Nutrirse Vianda,False,used,2026-07-01 08:00:04.445000-03:00,,2026-07-01 12:11:07.979000-03:00,False,115
R-00220,real,2026-07-01,Estudiantes,Estudiante de Grado,False,used,2026-07-01 08:00:05.528000-03:00,,2026-07-01 12:21:51.412000-03:00,False,220
R-00097,real,2026-07-01,Estudiantes,Estudiante de Grado,False,used,2026-07-01 08:00:06.584000-03:00,,2026-07-01 12:09:22.449000-03:00,False,97
R-00303,real,2026-07-01,Estudiantes,Estudiante de Grado,False,used,2026-07-01 08:00:08.116000-03:00,,2026-07-01 12:29:46.367000-03:00,False,303
R-00647,real,2026-07-01,Estudiantes,Estudiante de Grado,False,used,2026-07-01 08:00:08.446000-03:00,,2026-07-01 13:11:54.982000-03:00,False,647
R-00419,real,2026-07-01,Becas Nutrirse,Becas Nutrirse Vianda,False,used,2026-07-01 08:00:08.814000-03:00,,2026-07-01 12:41:55.947000-03:00,False,419
G-00002,generado_ia,2026-07-01,Becas Nutrirse,Becas Nutrirse Vianda,False,no_show,2026-07-01 08:00:09.977000-03:00,,,False,
R-00485,real,2026-07-01,Estudiantes,Estudiante de Grado,False,used,2026-07-01 08:00:11.295000-03:00,,2026-07-01 12:51:50.114000-03:00,False,485
R-00028,real,2026-07-01,Estudiantes,Estudiante de Grado,False,used,2026-07-01 08:00:11.949000-03:00,,2026-07-01 12:03:02.146000-03:00,False,28
R-00376,real,2026-07-01,Estudiantes,Estudiante de Grado,False,used,2026-07-01 08:00:12.319000-03:00,,2026-07-01 12:37:55.055000-03:00,False,376
R-00101,real,2026-07-01,Estudiantes,Estudiante de Grado,False,used,2026-07-01 08:00:15.441000-03:00,,2026-07-01 12:09:45.919000-03:00,False,101
R-00383,real,2026-07-01,Estudiantes,Estudiante de Grado,False,used,2026-07-01 08:00:17.025000-03:00,,2026-07-01 12:39:02.397000-03:00,False,383
R-00382,real,2026-07-01,Estudiantes,Estudiante de Grado,False,used,2026-07-01 08:00:17.208000-03:00,,2026-07-01 12:38:59.970000-03:00,False,382
R-00047,real,2026-07-01,Estudiantes,Estudiante de Grado,False,used,2026-07-01 08:00:17.730000-03:00,,2026-07-01 12:04:19.261000-03:00,False,47
G-00003,generado_ia,2026-07-01,Estudiantes,Estudiante de Grado,False,no_show,2026-07-01 08:00:18.806000-03:00,,,False,
R-00275,real,2026-07-01,Estudiantes,Estudiante de Grado,False,used,2026-07-01 08:00:19.752000-03:00,,2026-07-01 12:26:12.545000-03:00,False,275
R-00244,real,2026-07-01,Estudiantes,Estudiante de Grado,False,used,2026-07-01 08:00:19.772000-03:00,,2026-07-01 12:23:14.145000-03:00,False,244
G-00004,generado_ia,2026-07-01,Estudiantes,Estudiante de Grado,False,no_show,2026-07-01 08:00:20.126000-03:00,,,False,
R-00171,real,2026-07-01,Estudiantes,Estudiante de Grado,False,used,2026-07-01 08:00:20.498000-03:00,,2026-07-01 12:17:23.944000-03:00,False,171
R-00129,real,2026-07-01,Estudiantes,Estudiante de Grado,False,used,2026-07-01 08:00:22.553000-03:00,,2026-07-01 12:12:51.203000-03:00,False,129
R-00222,real,2026-07-01,Estudiantes,Estudiante de Grado,False,used,2026-07-01 08:00:26.480000-03:00,,2026-07-01 12:21:56.702000-03:00,False,222
