reserva_id,origen_fila,event_date,grupo,customer_types,sin_tacc,status,reserved_at,canceled_at,checked_at,re_reserva,customer_id
G-00001,generado_ia,2026-07-01,Estudiantes,Estudiante de Grado,False,canceled,2026-07-01 08:00:01.035000-03:00,2026-07-01 08:17:05.078000-03:00,,False,
G-00002,generado_ia,2026-07-01,Becas Nutrirse,Becas Nutrirse Vianda,False,no_show,2026-07-01 08:00:09.977000-03:00,,,False,
G-00003,generado_ia,2026-07-01,Estudiantes,Estudiante de Grado,False,no_show,2026-07-01 08:00:18.806000-03:00,,,False,
G-00004,generado_ia,2026-07-01,Estudiantes,Estudiante de Grado,False,no_show,2026-07-01 08:00:20.126000-03:00,,,False,
G-00005,generado_ia,2026-07-01,Estudiantes,Estudiante de Grado,False,canceled,2026-07-01 08:00:29.599000-03:00,2026-07-01 08:56:01.535000-03:00,,False,
G-00006,generado_ia,2026-07-01,Estudiantes,Estudiante de Grado,False,no_show,2026-07-01 08:01:08.163000-03:00,,,False,
G-00007,generado_ia,2026-07-01,Becas Nutrirse,Becas Nutrirse Vianda,False,canceled,2026-07-01 08:01:19.462000-03:00,2026-07-01 10:40:27.468000-03:00,,False,
G-00008,generado_ia,2026-07-01,Estudiantes,Estudiante de Grado,False,no_show,2026-07-01 08:01:20.712000-03:00,,,False,
G-00009,generado_ia,2026-07-01,Becas Nutrirse,Becas Nutrirse Vianda,False,no_show,2026-07-01 08:01:51.346000-03:00,,,False,
G-00010,generado_ia,2026-07-01,Estudiantes,Estudiante de Grado,False,no_show,2026-07-01 08:02:27.761000-03:00,,,False,
G-00011,generado_ia,2026-07-01,Estudiantes,Estudiante de Grado,False,canceled,2026-07-01 08:02:31.731000-03:00,2026-07-01 09:21:46.503000-03:00,,False,
G-00012,generado_ia,2026-07-01,Estudiantes,Estudiante de Grado,False,canceled,2026-07-01 08:02:48.668000-03:00,2026-07-01 10:55:48.201000-03:00,,False,
G-00013,generado_ia,2026-07-01,Becas personal,Becas Nodocentes,False,no_show,2026-07-01 08:02:50.008000-03:00,,,False,
G-00014,generado_ia,2026-07-01,Becas Nutrirse,Becas Nutrirse Vianda,False,no_show,2026-07-01 08:02:50.770000-03:00,,,False,
G-00015,generado_ia,2026-07-01,Estudiantes,Estudiante de Grado,False,no_show,2026-07-01 08:03:15.461000-03:00,,,False,
G-00016,generado_ia,2026-07-01,Estudiantes,Estudiante de Grado,False,no_show,2026-07-01 08:03:18.805000-03:00,,,False,
G-00017,generado_ia,2026-07-01,Becas Nutrirse,Becas Nutrirse Vianda,False,no_show,2026-07-01 08:03:27.473000-03:00,,,False,
G-00018,generado_ia,2026-07-01,Estudiantes,Estudiante de Grado,False,no_show,2026-07-01 08:05:07.850000-03:00,,,False,
G-00019,generado_ia,2026-07-01,Estudiantes,Estudiante de Grado,False,no_show,2026-07-01 08:05:09.692000-03:00,,,False,
G-00020,generado_ia,2026-07-01,Estudiantes,Estudiante de Grado,False,no_show,2026-07-01 08:07:37.018000-03:00,,,False,
G-00021,generado_ia,2026-07-01,Estudiantes,Estudiante de Grado,False,no_show,2026-07-01 08:07:41.513000-03:00,,,False,
G-00022,generado_ia,2026-07-01,Becas Nutrirse,Becas Nutrirse Vianda,False,no_show,2026-07-01 08:08:42.506000-03:00,,,False,
G-00023,generado_ia,2026-07-01,Becas Nutrirse,Becas Nutrirse Vianda,False,no_show,2026-07-01 08:08:46.488000-03:00,,,False,
G-00024,generado_ia,2026-07-01,Estudiantes,Estudiante de Grado,False,no_show,2026-07-01 08:09:59.772000-03:00,,,False,
G-00025,generado_ia,2026-07-01,Becas Nutrirse,Becas Nutrirse Vianda,False,no_show,2026-07-01 08:10:26.755000-03:00,,,False,
G-00026,generado_ia,2026-07-01,Estudiantes,Estudiante de Grado,False,no_show,2026-07-01 08:11:16.065000-03:00,,,False,
G-00027,generado_ia,2026-07-01,Estudiantes,Estudiante de Grado,False,no_show,2026-07-01 08:11:20.318000-03:00,,,False,
G-00028,generado_ia,2026-07-01,Estudiantes,Estudiante de Grado,False,no_show,2026-07-01 08:11:25.321000-03:00,,,False,
G-00029,generado_ia,2026-07-01,Estudiantes,Estudiante de Grado,False,no_show,2026-07-01 08:12:05.435000-03:00,,,False,
G-00030,generado_ia,2026-07-01,Becas Nutrirse,Becas Nutrirse Vianda,False,canceled,2026-07-01 08:12:31.039000-03:00,2026-07-01 08:25:30.442000-03:00,,False,
G-00031,generado_ia,2026-07-01,Estudiantes,Estudiante de Grado,False,canceled,2026-07-01 08:12:53.202000-03:00,2026-07-01 09:46:47.533000-03:00,,False,
G-00032,generado_ia,2026-07-01,Becas Nutrirse,Becas Nutrirse Vianda,False,canceled,2026-07-01 08:13:21.718000-03:00,2026-07-01 10:51:21.298000-03:00,,False,
G-00033,generado_ia,2026-07-01,Estudiantes,Estudiante de Grado,False,canceled,2026-07-01 08:14:26.643000-03:00,2026-07-01 09:36:25.810000-03:00,,False,
G-00034,generado_ia,2026-07-01,Becas Nutrirse,Becas Nutrirse Vianda,False,canceled,2026-07-01 08:15:20.936000-03:00,2026-07-01 09:06:40.786000-03:00,,False,
G-00035,generado_ia,2026-07-01,Estudiantes,Estudiante de Grado,False,no_show,2026-07-01 08:15:36.849000-03:00,,,False,
