event_date,checked_at,intervalo_s
2026-08-11,2026-08-11 13:10:01.358000-03:00,2.299
2026-08-11,2026-08-11 13:10:03.913000-03:00,2.555
2026-08-11,2026-08-11 13:10:06.880000-03:00,2.967
2026-08-11,2026-08-11 13:10:09.297000-03:00,2.417
2026-08-11,2026-08-11 13:10:12.890000-03:00,3.593
2026-08-11,2026-08-11 13:10:31.993000-03:00,19.103
2026-08-11,2026-08-11 13:10:37.934000-03:00,5.941
2026-08-11,2026-08-11 13:10:41.148000-03:00,3.214
2026-08-11,2026-08-11 13:10:43.288000-03:00,2.14
2026-08-11,2026-08-11 13:10:45.727000-03:00,2.439
2026-08-11,2026-08-11 13:10:48.482000-03:00,2.755
2026-08-11,2026-08-11 13:10:50.884000-03:00,2.402
2026-08-11,2026-08-11 13:10:51.890000-03:00,1.006
2026-08-11,2026-08-11 13:10:56.828000-03:00,4.938
2026-08-11,2026-08-11 13:11:14.222000-03:00,17.394
2026-08-11,2026-08-11 13:11:17.636000-03:00,3.414
2026-08-11,2026-08-11 13:11:21.619000-03:00,3.983
2026-08-11,2026-08-11 13:11:23.372000-03:00,1.753
2026-08-11,2026-08-11 13:11:37.243000-03:00,13.871
2026-08-11,2026-08-11 13:11:44.452000-03:00,7.209
2026-08-11,2026-08-11 13:11:47.152000-03:00,2.7
2026-08-11,2026-08-11 13:11:49.385000-03:00,2.233
2026-08-11,2026-08-11 13:11:52.025000-03:00,2.64
2026-08-11,2026-08-11 13:11:54.643000-03:00,2.618
2026-08-11,2026-08-11 13:11:57.550000-03:00,2.907
2026-08-11,2026-08-11 13:11:59.750000-03:00,2.2
2026-08-11,2026-08-11 13:12:02.748000-03:00,2.998
2026-08-11,2026-08-11 13:12:05.361000-03:00,2.613
2026-08-11,2026-08-11 13:12:07.880000-03:00,2.519
2026-08-11,2026-08-11 13:12:12.227000-03:00,4.347
2026-08-11,2026-08-11 13:12:15.003000-03:00,2.776
2026-08-11,2026-08-11 13:12:17.759000-03:00,2.756
2026-08-11,2026-08-11 13:12:20.969000-03:00,3.21
2026-08-11,2026-08-11 13:12:24.051000-03:00,3.082
2026-08-11,2026-08-11 13:12:27.027000-03:00,2.976
2026-08-11,2026-08-11 13:12:31.349000-03:00,4.322
2026-08-11,2026-08-11 13:12:34.952000-03:00,3.603
2026-08-11,2026-08-11 13:12:37.407000-03:00,2.455
2026-08-11,2026-08-11 13:12:40.081000-03:00,2.674
2026-08-11,2026-08-11 13:12:43.576000-03:00,3.495
2026-08-11,2026-08-11 13:12:48.101000-03:00,4.525
2026-08-11,2026-08-11 13:12:51.951000-03:00,3.85
2026-08-11,2026-08-11 13:12:54.649000-03:00,2.698
2026-08-11,2026-08-11 13:13:01.095000-03:00,6.446
2026-08-11,2026-08-11 13:13:03.829000-03:00,2.734
2026-08-11,2026-08-11 13:13:06.944000-03:00,3.115
2026-08-11,2026-08-11 13:13:11.404000-03:00,4.46
2026-08-11,2026-08-11 13:13:14.580000-03:00,3.176
2026-08-11,2026-08-11 13:13:17.903000-03:00,3.323
2026-08-11,2026-08-11 13:13:21.234000-03:00,3.331
2026-08-11,2026-08-11 13:13:24.114000-03:00,2.88
2026-08-11,2026-08-11 13:13:29.915000-03:00,5.801
2026-08-11,2026-08-11 13:13:42.219000-03:00,12.304
2026-08-11,2026-08-11 13:13:45.416000-03:00,3.197
2026-08-11,2026-08-11 13:13:48.110000-03:00,2.694
2026-08-11,2026-08-11 13:13:52.431000-03:00,4.321
2026-08-11,2026-08-11 13:13:56.080000-03:00,3.649
2026-08-11,2026-08-11 13:13:58.601000-03:00,2.521
2026-08-11,2026-08-11 13:14:01.095000-03:00,2.494
2026-08-11,2026-08-11 13:14:08.053000-03:00,6.958
2026-08-11,2026-08-11 13:14:11.526000-03:00,3.473
2026-08-11,2026-08-11 13:14:13.563000-03:00,2.037
2026-08-11,2026-08-11 13:14:16.280000-03:00,2.717
2026-08-11,2026-08-11 13:14:17.985000-03:00,1.705
2026-08-11,2026-08-11 13:14:20.866000-03:00,2.881
2026-08-11,2026-08-11 13:14:23.668000-03:00,2.802
2026-08-11,2026-08-11 13:14:26.557000-03:00,2.889
2026-08-11,2026-08-11 13:14:30.709000-03:00,4.152
2026-08-11,2026-08-11 13:14:34.130000-03:00,3.421
2026-08-11,2026-08-11 13:14:38.894000-03:00,4.764
2026-08-11,2026-08-11 13:14:48.986000-03:00,10.092
2026-08-11,2026-08-11 13:14:51.602000-03:00,2.616
2026-08-11,2026-08-11 13:14:53.784000-03:00,2.182
2026-08-11,2026-08-11 13:14:57.720000-03:00,3.936
2026-08-11,2026-08-11 13:15:01.886000-03:00,4.166
2026-08-11,2026-08-11 13:15:05.603000-03:00,3.717
2026-08-11,2026-08-11 13:15:07.244000-03:00,1.641
2026-08-11,2026-08-11 13:15:09.771000-03:00,2.527
2026-08-11,2026-08-11 13:15:14.120000-03:00,4.349
2026-08-11,2026-08-11 13:15:21.843000-03:00,7.723
2026-08-11,2026-08-11 13:15:24.702000-03:00,2.859
2026-08-11,2026-08-11 13:15:26.971000-03:00,2.269
2026-08-11,2026-08-11 13:15:30.790000-03:00,3.819
2026-08-11,2026-08-11 13:15:37.944000-03:00,7.154
2026-08-11,2026-08-11 13:15:40.645000-03:00,2.701
2026-08-11,2026-08-11 13:15:42.262000-03:00,1.617
2026-08-11,2026-08-11 13:15:47.339000-03:00,5.077
2026-08-11,2026-08-11 13:15:51.732000-03:00,4.393
2026-08-11,2026-08-11 13:15:54.264000-03:00,2.532
2026-08-11,2026-08-11 13:15:56.837000-03:00,2.573
2026-08-11,2026-08-11 13:16:01.798000-03:00,4.961
2026-08-11,2026-08-11 13:16:03.687000-03:00,1.889
2026-08-11,2026-08-11 13:16:12.786000-03:00,9.099
2026-08-11,2026-08-11 13:16:14.953000-03:00,2.167
2026-08-11,2026-08-11 13:16:17.904000-03:00,2.951
2026-08-11,2026-08-11 13:16:19.408000-03:00,1.504
2026-08-11,2026-08-11 13:16:24.541000-03:00,5.133
2026-08-11,2026-08-11 13:16:27.827000-03:00,3.286
2026-08-11,2026-08-11 13:16:30.445000-03:00,2.618
2026-08-11,2026-08-11 13:16:33.402000-03:00,2.957
2026-08-11,2026-08-11 13:16:35.672000-03:00,2.27
2026-08-11,2026-08-11 13:16:39.039000-03:00,3.367
2026-08-11,2026-08-11 13:16:41.546000-03:00,2.507
2026-08-11,2026-08-11 13:16:54.657000-03:00,13.111
2026-08-11,2026-08-11 13:16:57.809000-03:00,3.152
2026-08-11,2026-08-11 13:17:01.682000-03:00,3.873
2026-08-11,2026-08-11 13:17:15.152000-03:00,13.47
2026-08-11,2026-08-11 13:17:17.931000-03:00,2.779
2026-08-11,2026-08-11 13:17:20.713000-03:00,2.782
2026-08-11,2026-08-11 13:17:23.269000-03:00,2.556
2026-08-11,2026-08-11 13:17:25.862000-03:00,2.593
2026-08-11,2026-08-11 13:17:34.028000-03:00,8.166
2026-08-11,2026-08-11 13:17:36.940000-03:00,2.912
2026-08-11,2026-08-11 13:17:39.601000-03:00,2.661
2026-08-11,2026-08-11 13:17:44.691000-03:00,5.09
2026-08-11,2026-08-11 13:17:48.029000-03:00,3.338
2026-08-11,2026-08-11 13:17:50.472000-03:00,2.443
2026-08-11,2026-08-11 13:17:53.458000-03:00,2.986
2026-08-11,2026-08-11 13:17:56.212000-03:00,2.754
2026-08-11,2026-08-11 13:17:59.641000-03:00,3.429
2026-08-11,2026-08-11 13:18:02.031000-03:00,2.39
2026-08-11,2026-08-11 13:18:04.553000-03:00,2.522
2026-08-11,2026-08-11 13:18:06.832000-03:00,2.279
2026-08-11,2026-08-11 13:18:10.746000-03:00,3.914
2026-08-11,2026-08-11 13:18:13.421000-03:00,2.675
2026-08-11,2026-08-11 13:18:32.494000-03:00,19.073
2026-08-11,2026-08-11 13:18:42.113000-03:00,9.619
2026-08-11,2026-08-11 13:18:43.700000-03:00,1.587
2026-08-11,2026-08-11 13:18:51.549000-03:00,7.849
2026-08-11,2026-08-11 13:18:54.509000-03:00,2.96
2026-08-11,2026-08-11 13:19:02.097000-03:00,7.588
2026-08-11,2026-08-11 13:19:04.652000-03:00,2.555
2026-08-11,2026-08-11 13:19:07.568000-03:00,2.916
2026-08-11,2026-08-11 13:19:15.378000-03:00,7.81
2026-08-11,2026-08-11 13:19:17.807000-03:00,2.429
2026-08-11,2026-08-11 13:19:20.458000-03:00,2.651
2026-08-11,2026-08-11 13:19:24.517000-03:00,4.059
2026-08-11,2026-08-11 13:19:27.508000-03:00,2.991
2026-08-11,2026-08-11 13:19:31.953000-03:00,4.445
2026-08-11,2026-08-11 13:19:37.396000-03:00,5.443
2026-08-11,2026-08-11 13:19:41.030000-03:00,3.634
2026-08-11,2026-08-11 13:19:43.430000-03:00,2.4
2026-08-11,2026-08-11 13:19:46.888000-03:00,3.458
2026-08-11,2026-08-11 13:19:50.237000-03:00,3.349
2026-08-13,2026-08-13 13:10:02.058000-03:00,2.609
2026-08-13,2026-08-13 13:10:06.050000-03:00,3.992
2026-08-13,2026-08-13 13:10:08.715000-03:00,2.665
2026-08-13,2026-08-13 13:10:20.782000-03:00,12.067
2026-08-13,2026-08-13 13:10:23.728000-03:00,2.946
2026-08-13,2026-08-13 13:10:28.161000-03:00,4.433
2026-08-13,2026-08-13 13:10:30.386000-03:00,2.225
2026-08-13,2026-08-13 13:10:33.504000-03:00,3.118
2026-08-13,2026-08-13 13:10:43.687000-03:00,10.183
2026-08-13,2026-08-13 13:10:48.676000-03:00,4.989
2026-08-13,2026-08-13 13:10:53.048000-03:00,4.372
2026-08-13,2026-08-13 13:10:55.591000-03:00,2.543
2026-08-13,2026-08-13 13:11:02.280000-03:00,6.689
2026-08-13,2026-08-13 13:11:05.802000-03:00,3.522
2026-08-13,2026-08-13 13:11:09.380000-03:00,3.578
2026-08-13,2026-08-13 13:11:11.840000-03:00,2.46
2026-08-13,2026-08-13 13:11:16.084000-03:00,4.244
2026-08-13,2026-08-13 13:11:22.458000-03:00,6.374
2026-08-13,2026-08-13 13:11:25.150000-03:00,2.692
2026-08-13,2026-08-13 13:11:26.858000-03:00,1.708
2026-08-13,2026-08-13 13:11:30.147000-03:00,3.289
2026-08-13,2026-08-13 13:11:37.183000-03:00,7.036
2026-08-13,2026-08-13 13:11:40.576000-03:00,3.393
2026-08-13,2026-08-13 13:11:45.272000-03:00,4.696
2026-08-13,2026-08-13 13:11:48.503000-03:00,3.231
2026-08-13,2026-08-13 13:11:56.391000-03:00,7.888
2026-08-13,2026-08-13 13:12:00.333000-03:00,3.942
2026-08-13,2026-08-13 13:12:03.072000-03:00,2.739
