grupo,customer_types,sin_tacc,event_date,reserved_at,canceled_at,checked_at,anticipacion_min,status,customer_id
Becas Nutrirse,Becas Nutrirse Vianda,False,2026-07-01,2026-07-01 08:46:25.242000-03:00,,2026-07-01 12:01:24.334000-03:00,194.98486666666668,used,6
Becas Nutrirse,Becas Nutrirse Vianda,False,2026-07-01,2026-07-01 08:02:36.836000-03:00,,2026-07-01 12:01:26.313000-03:00,238.82461666666669,used,7
Becas Nutrirse,Becas Nutrirse Vianda,False,2026-07-01,2026-07-01 08:29:00.263000-03:00,,2026-07-01 12:01:30.637000-03:00,212.50623333333334,used,9
Becas Nutrirse,Becas Nutrirse Vianda,False,2026-07-01,2026-07-01 08:48:00.475000-03:00,,2026-07-01 12:01:35.705000-03:00,193.58716666666666,used,11
Becas Nutrirse,Becas Nutrirse Vianda,False,2026-07-01,2026-07-01 09:54:18.849000-03:00,,2026-07-01 12:02:39.143000-03:00,128.33823333333333,used,19
Becas Nutrirse,Becas Nutrirse Vianda,False,2026-07-01,2026-07-01 08:50:11.726000-03:00,,2026-07-01 12:02:41.670000-03:00,192.49906666666666,used,20
Becas Nutrirse,Becas Nutrirse Vianda,False,2026-07-01,2026-07-01 09:24:21.966000-03:00,,2026-07-01 12:02:47.006000-03:00,158.41733333333335,used,22
Becas Nutrirse,Becas Nutrirse Vianda,False,2026-07-01,2026-07-01 08:59:10.151000-03:00,,2026-07-01 12:02:52.892000-03:00,183.71235,used,24
Becas Nutrirse,Becas Nutrirse Vianda,False,2026-07-01,2026-07-01 09:57:51.326000-03:00,,2026-07-01 12:03:38.651000-03:00,125.78875,used,39
Becas Nutrirse,Becas Nutrirse Vianda,False,2026-07-01,2026-07-01 08:37:46.622000-03:00,,2026-07-01 12:04:07.005000-03:00,206.33971666666667,used,43
Becas Nutrirse,Becas Nutrirse Vianda,False,2026-07-01,2026-07-01 08:36:56.257000-03:00,,2026-07-01 12:04:09.589000-03:00,207.22220000000002,used,44
Becas Nutrirse,Becas Nutrirse Vianda,False,2026-07-01,2026-07-01 08:12:54.290000-03:00,,2026-07-01 12:04:26.009000-03:00,231.52865,used,49
Becas Nutrirse,Becas Nutrirse Vianda,False,2026-07-01,2026-07-01 08:38:23.958000-03:00,,2026-07-01 12:04:37.141000-03:00,206.21971666666667,used,53
Becas Nutrirse,Becas Nutrirse Vianda,False,2026-07-01,2026-07-01 08:05:08.993000-03:00,,2026-07-01 12:05:33.200000-03:00,240.40345,used,62
Becas Nutrirse,Becas Nutrirse Vianda,False,2026-07-01,2026-07-01 08:04:23.653000-03:00,,2026-07-01 12:05:34.638000-03:00,241.18308333333334,used,63
Becas Nutrirse,Becas Nutrirse Vianda,False,2026-07-01,2026-07-01 08:40:54.637000-03:00,,2026-07-01 12:06:08.047000-03:00,205.2235,used,69
Becas Nutrirse,Becas Nutrirse Vianda,False,2026-07-01,2026-07-01 09:01:48.346000-03:00,,2026-07-01 12:06:11.386000-03:00,184.38400000000001,used,70
Becas Nutrirse,Becas Nutrirse Vianda,False,2026-07-01,2026-07-01 08:54:37.927000-03:00,,2026-07-01 12:06:15.932000-03:00,191.63341666666665,used,71
Becas Nutrirse,Becas Nutrirse Vianda,False,2026-07-01,2026-07-01 08:07:10.083000-03:00,,2026-07-01 12:06:29.142000-03:00,239.31765,used,73
Becas Nutrirse,Becas Nutrirse Vianda,False,2026-07-01,2026-07-01 09:04:12.761000-03:00,,2026-07-01 12:06:44.783000-03:00,182.5337,used,76
Becas Nutrirse,Becas Nutrirse Vianda,False,2026-07-01,2026-07-01 08:28:01.617000-03:00,,2026-07-01 12:07:36.333000-03:00,219.5786,used,80
Becas Nutrirse,Becas Nutrirse Vianda,False,2026-07-01,2026-07-01 09:44:35.641000-03:00,,2026-07-01 12:07:39.931000-03:00,143.07150000000001,used,81
Becas Nutrirse,Becas Nutrirse Vianda,False,2026-07-01,2026-07-01 09:32:43.407000-03:00,,2026-07-01 12:07:42.194000-03:00,154.97978333333333,used,82
Becas Nutrirse,Becas Nutrirse Vianda,False,2026-07-01,2026-07-01 08:35:33.436000-03:00,,2026-07-01 12:07:55.467000-03:00,212.36718333333334,used,84
Becas Nutrirse,Becas Nutrirse Vianda,False,2026-07-01,2026-07-01 09:16:17.447000-03:00,,2026-07-01 12:08:00.992000-03:00,171.72575,used,86
Becas Nutrirse,Becas Nutrirse Vianda,False,2026-07-01,2026-07-01 08:09:45.161000-03:00,,2026-07-01 12:08:10.278000-03:00,238.41861666666668,used,87
Becas Nutrirse,Becas Nutrirse Vianda,False,2026-07-01,2026-07-01 08:09:10.939000-03:00,,2026-07-01 12:08:37.453000-03:00,239.44189999999998,used,91
Becas Nutrirse,Becas Nutrirse Vianda,False,2026-07-01,2026-07-01 08:21:51.511000-03:00,,2026-07-01 12:09:15.554000-03:00,227.40071666666665,used,95
Becas Nutrirse,Becas Nutrirse Vianda,False,2026-07-01,2026-07-01 08:06:05.579000-03:00,,2026-07-01 12:09:19.729000-03:00,243.23583333333332,used,96
Becas Nutrirse,Becas Nutrirse Vianda,False,2026-07-01,2026-07-01 08:24:10.391000-03:00,,2026-07-01 12:09:29.335000-03:00,225.31573333333333,used,98
Becas Nutrirse,Becas Nutrirse Vianda,False,2026-07-01,2026-07-01 08:52:54.515000-03:00,,2026-07-01 12:10:36.824000-03:00,197.70514999999997,used,107
Becas Nutrirse,Becas Nutrirse Vianda,False,2026-07-01,2026-07-01 08:39:27.456000-03:00,,2026-07-01 12:10:41.338000-03:00,211.23136666666667,used,108
Becas Nutrirse,Becas Nutrirse Vianda,False,2026-07-01,2026-07-01 09:36:29.636000-03:00,,2026-07-01 12:10:50.823000-03:00,154.35311666666666,used,111
Becas Nutrirse,Becas Nutrirse Vianda,False,2026-07-01,2026-07-01 08:22:52.700000-03:00,,2026-07-01 12:10:58.343000-03:00,228.09405,used,113
Becas Nutrirse,Becas Nutrirse Vianda,False,2026-07-01,2026-07-01 09:27:53.085000-03:00,,2026-07-01 12:11:05.356000-03:00,163.20451666666668,used,114
Becas Nutrirse,Becas Nutrirse Vianda,False,2026-07-01,2026-07-01 08:00:04.445000-03:00,,2026-07-01 12:11:07.979000-03:00,251.0589,used,115
Becas Nutrirse,Becas Nutrirse Vianda,False,2026-07-01,2026-07-01 08:05:11.876000-03:00,,2026-07-01 12:11:10.952000-03:00,245.98459999999997,used,116
Becas Nutrirse,Becas Nutrirse Vianda,False,2026-07-01,2026-07-01 08:05:02.599000-03:00,,2026-07-01 12:11:12.728000-03:00,246.1688166666667,used,117
Becas Nutrirse,Becas Nutrirse Vianda,False,2026-07-01,2026-07-01 09:06:08.856000-03:00,,2026-07-01 12:12:05.507000-03:00,185.94418333333334,used,121
Becas Nutrirse,Becas Nutrirse Vianda,False,2026-07-01,2026-07-01 08:05:03.422000-03:00,,2026-07-01 12:12:20.669000-03:00,247.28744999999998,used,123
Becas Nutrirse,Becas Nutrirse Vianda,False,2026-07-01,2026-07-01 09:42:27.616000-03:00,,2026-07-01 12:12:31.682000-03:00,150.06776666666667,used,126
Becas Nutrirse,Becas Nutrirse Vianda,False,2026-07-01,2026-07-01 09:39:44.359000-03:00,,2026-07-01 12:12:39.560000-03:00,152.92001666666664,used,127
Becas Nutrirse,Becas Nutrirse Vianda,False,2026-07-01,2026-07-01 09:05:36.467000-03:00,,2026-07-01 12:12:45.473000-03:00,187.15009999999998,used,128
Becas Nutrirse,Becas Nutrirse Vianda,False,2026-07-01,2026-07-01 08:09:33.673000-03:00,,2026-07-01 12:13:12.457000-03:00,243.6464,used,135
Becas Nutrirse,Becas Nutrirse Vianda,False,2026-07-01,2026-07-01 08:20:02.009000-03:00,,2026-07-01 12:13:17.485000-03:00,233.25793333333334,used,136
Becas Nutrirse,Becas Nutrirse Vianda,False,2026-07-01,2026-07-01 08:36:23.862000-03:00,,2026-07-01 12:13:19.572000-03:00,216.92849999999999,used,137
Becas Nutrirse,Becas Nutrirse Vianda,False,2026-07-01,2026-07-01 08:35:38.855000-03:00,,2026-07-01 12:13:21.981000-03:00,217.71876666666668,used,138
Becas Nutrirse,Becas Nutrirse Vianda,False,2026-07-01,2026-07-01 09:02:59.455000-03:00,,2026-07-01 12:14:09.049000-03:00,191.1599,used,141
