grupo,customer_types,sin_tacc,event_date,reserved_at,canceled_at,checked_at,anticipacion_min,status,customer_id
Becas personal,Becas Docentes,False,2026-07-01,2026-07-01 08:19:09.319000-03:00,,2026-07-01 12:38:57.007000-03:00,259.7948,used,381
Becas personal,Becas Docentes,False,2026-07-01,2026-07-01 08:52:46.923000-03:00,,2026-07-01 12:50:41.237000-03:00,237.90523333333334,used,476
Becas personal,Becas Docentes,False,2026-07-01,2026-07-01 08:07:28.588000-03:00,,2026-07-01 12:50:46.024000-03:00,283.29060000000004,used,477
Becas personal,Becas Docentes,False,2026-07-01,2026-07-01 09:58:20.105000-03:00,,2026-07-01 12:50:48.206000-03:00,172.46835000000002,used,478
Becas personal,Becas Docentes,False,2026-07-01,2026-07-01 08:58:39.269000-03:00,,2026-07-01 12:56:40.491000-03:00,238.02036666666666,used,511
Becas personal,Becas Docentes,False,2026-07-01,2026-07-01 08:47:40.491000-03:00,,2026-07-01 12:56:42.838000-03:00,249.03911666666667,used,512
Becas personal,Becas Docentes,False,2026-07-01,2026-07-01 09:17:39.447000-03:00,,2026-07-01 12:56:44.939000-03:00,219.09153333333333,used,513
Becas personal,Becas Docentes,False,2026-07-01,2026-07-01 08:35:57.817000-03:00,,2026-07-01 12:56:47.136000-03:00,260.8219833333333,used,514
Becas personal,Becas Docentes,False,2026-07-01,2026-07-01 08:33:31.989000-03:00,,2026-07-01 13:12:08.740000-03:00,278.6125166666667,used,649
Becas personal,Becas Docentes,False,2026-07-01,2026-07-01 08:27:51.394000-03:00,,2026-07-01 13:25:17.415000-03:00,297.43368333333336,used,770
Becas personal,Becas Docentes,False,2026-07-01,2026-07-01 08:58:45.142000-03:00,,2026-07-01 13:33:29.261000-03:00,274.7353166666666,used,838
Becas personal,Becas Docentes,False,2026-07-01,2026-07-01 10:02:38.434000-03:00,,2026-07-01 14:01:29.932000-03:00,238.85829999999999,used,1019
Becas personal,Becas Docentes,False,2026-07-01,2026-07-01 09:39:58.914000-03:00,,2026-07-01 14:02:44.876000-03:00,262.7660333333333,used,1024
Becas personal,Becas Docentes,False,2026-07-02,2026-07-02 08:22:29.698000-03:00,,2026-07-02 12:15:39.275000-03:00,233.15961666666666,used,1312
Becas personal,Becas Docentes,False,2026-07-02,2026-07-02 08:00:40.052000-03:00,,2026-07-02 12:29:54.778000-03:00,269.2454333333333,used,1382
Becas personal,Becas Docentes,False,2026-07-02,2026-07-02 09:36:45.728000-03:00,,2026-07-02 12:33:53.245000-03:00,177.12528333333333,used,1400
Becas personal,Becas Docentes,False,2026-07-02,2026-07-02 09:07:46.806000-03:00,,2026-07-02 12:33:55.246000-03:00,206.14066666666668,used,1401
Becas personal,Becas Docentes,False,2026-07-02,2026-07-02 09:18:05.262000-03:00,,2026-07-02 12:33:57.742000-03:00,195.87466666666666,used,1402
Becas personal,Becas Docentes,False,2026-07-02,2026-07-02 09:22:11.988000-03:00,,2026-07-02 12:33:59.761000-03:00,191.79621666666665,used,1403
Becas personal,Becas Docentes,False,2026-07-02,2026-07-02 10:31:10.390000-03:00,,2026-07-02 12:40:17.301000-03:00,129.11518333333333,used,1421
Becas personal,Becas Docentes,False,2026-07-02,2026-07-02 08:45:46.570000-03:00,,2026-07-02 13:06:03.622000-03:00,260.2842,used,1522
Becas personal,Becas Docentes,False,2026-07-02,2026-07-02 09:09:11.351000-03:00,,2026-07-02 13:06:06.614000-03:00,236.92105,used,1523
Becas personal,Becas Docentes,False,2026-07-02,2026-07-02 08:42:48.535000-03:00,,2026-07-02 13:33:20.092000-03:00,290.52595,used,1671
Becas personal,Becas Docentes,False,2026-07-02,2026-07-02 08:12:50.187000-03:00,,2026-07-02 13:41:49.642000-03:00,328.9909166666667,used,1705
Becas personal,Becas Docentes,False,2026-07-02,2026-07-02 09:48:50.037000-03:00,,2026-07-02 13:45:12.847000-03:00,236.38016666666667,used,1716
Becas personal,Becas Docentes,False,2026-07-02,2026-07-02 08:53:07.910000-03:00,,2026-07-02 13:58:29.507000-03:00,305.35995,used,1800
Becas personal,Becas Docentes,False,2026-07-03,2026-07-03 09:00:34.535000-03:00,,2026-07-03 12:35:57.137000-03:00,215.3767,used,2223
Becas personal,Becas Docentes,False,2026-07-03,2026-07-03 08:10:34.142000-03:00,,2026-07-03 12:36:01.305000-03:00,265.4527166666667,used,2224
Becas personal,Becas Docentes,False,2026-07-03,2026-07-03 09:16:07.894000-03:00,,2026-07-03 12:36:03.488000-03:00,199.92656666666664,used,2225
