grupo,customer_types,sin_tacc,event_date,reserved_at,canceled_at,checked_at,anticipacion_min,status,customer_id
Personal,Docente,False,2026-07-01,2026-07-01 09:09:36.504000-03:00,,2026-07-01 12:15:30.894000-03:00,185.9065,used,152
Personal,Docente,False,2026-07-01,2026-07-01 08:43:29.806000-03:00,,2026-07-01 12:38:51.506000-03:00,235.36166666666668,used,379
Personal,Docente,False,2026-07-01,2026-07-01 08:34:08.699000-03:00,,2026-07-01 12:38:54.470000-03:00,244.76285000000001,used,380
Personal,Docente,False,2026-07-01,2026-07-01 09:53:17.012000-03:00,,2026-07-01 12:48:53.854000-03:00,175.61403333333334,used,460
Personal,Docente,False,2026-07-01,2026-07-01 09:31:51.033000-03:00,,2026-07-01 12:56:50.719000-03:00,204.99476666666666,used,515
Personal,Docente,False,2026-07-01,2026-07-01 09:49:53.279000-03:00,,2026-07-01 12:59:06.211000-03:00,189.21553333333335,used,531
Personal,Docente,False,2026-07-01,2026-07-01 08:49:39.375000-03:00,,2026-07-01 13:16:09.236000-03:00,266.4976833333333,used,694
Personal,Docente,False,2026-07-01,2026-07-01 09:46:52.829000-03:00,,2026-07-01 13:16:44.598000-03:00,209.86281666666667,used,699
Personal,Docente,False,2026-07-01,2026-07-01 10:08:12.839000-03:00,,2026-07-01 13:16:47.381000-03:00,188.57569999999998,used,700
Personal,Docente,False,2026-07-01,2026-07-01 09:46:48.623000-03:00,,2026-07-01 13:25:14.588000-03:00,218.43275,used,769
Personal,Docente,False,2026-07-01,2026-07-01 10:46:57.749000-03:00,,2026-07-01 13:49:31.429000-03:00,182.56133333333335,used,952
Personal,Docente,False,2026-07-01,2026-07-01 10:44:45.160000-03:00,,2026-07-01 13:58:29.691000-03:00,193.74218333333334,used,993
Personal,Docente,False,2026-07-01,2026-07-01 08:15:29.407000-03:00,,2026-07-01 14:08:02.957000-03:00,352.55916666666667,used,1045
Personal,Docente,False,2026-07-02,2026-07-02 08:34:34.603000-03:00,,2026-07-02 13:09:54.974000-03:00,275.33951666666667,used,1540
Personal,Docente,False,2026-07-02,2026-07-02 10:14:14.887000-03:00,,2026-07-02 13:21:07.794000-03:00,186.88178333333332,used,1618
Personal,Docente,False,2026-07-02,2026-07-02 09:42:57.820000-03:00,,2026-07-02 13:26:25.774000-03:00,223.4659,used,1638
Personal,Docente,False,2026-07-02,2026-07-02 08:33:03.511000-03:00,,2026-07-02 13:26:31.763000-03:00,293.47086666666667,used,1639
Personal,Docente,False,2026-07-02,2026-07-02 10:43:37.053000-03:00,,2026-07-02 13:44:08.217000-03:00,180.51940000000002,used,1711
Personal,Docente,False,2026-07-02,2026-07-02 09:15:53.306000-03:00,,2026-07-02 13:51:14.149000-03:00,275.34738333333337,used,1754
Personal,Docente,False,2026-07-02,2026-07-02 10:43:37.763000-03:00,,2026-07-02 13:52:18.055000-03:00,188.67153333333331,used,1761
Personal,Docente,False,2026-07-02,2026-07-02 09:00:43.534000-03:00,,2026-07-02 14:18:33.582000-03:00,317.83413333333334,used,1896
Personal,Docente,False,2026-07-03,2026-07-03 10:23:33.325000-03:00,,2026-07-03 12:10:50.386000-03:00,107.28434999999999,used,2062
Personal,Docente,False,2026-07-03,2026-07-03 10:21:30.362000-03:00,,2026-07-03 12:27:47.601000-03:00,126.28731666666665,used,2180
Personal,Docente,False,2026-07-03,2026-07-03 10:23:41.941000-03:00,,2026-07-03 12:53:54.997000-03:00,150.2176,used,2334
Personal,Docente,False,2026-07-03,2026-07-03 10:41:30.047000-03:00,,2026-07-03 12:53:57.421000-03:00,132.45623333333333,used,2335
Personal,Docente,False,2026-07-03,2026-07-03 08:13:33.207000-03:00,,2026-07-03 13:10:00.014000-03:00,296.44678333333337,used,2422
Personal,Docente,False,2026-07-03,2026-07-03 08:25:13.490000-03:00,,2026-07-03 13:38:08.102000-03:00,312.91020000000003,used,2614
Personal,Docente,False,2026-07-03,2026-07-03 08:18:02.243000-03:00,,2026-07-03 13:50:35.112000-03:00,332.5478166666666,used,2669
Personal,Docente,False,2026-07-08,2026-07-08 10:17:02.113000-03:00,,2026-07-08 12:55:54.281000-03:00,158.86946666666665,used,3253
Personal,Docente,False,2026-07-08,2026-07-08 10:06:07.160000-03:00,,2026-07-08 13:21:04.503000-03:00,194.9557166666667,used,3344
Personal,Docente,False,2026-07-08,2026-07-08 10:26:05.834000-03:00,,2026-07-08 13:21:14.099000-03:00,175.13774999999998,used,3347
Personal,Docente,False,2026-07-20,2026-07-20 09:52:33.079000-03:00,,2026-07-20 12:24:15.929000-03:00,151.71416666666667,used,3566
Personal,Docente,False,2026-07-20,2026-07-20 10:13:36.051000-03:00,,2026-07-20 12:30:16.702000-03:00,136.67751666666666,used,3579
Personal,Docente,False,2026-07-20,2026-07-20 10:01:37.863000-03:00,,2026-07-20 13:03:58.822000-03:00,182.34931666666668,used,3665
Personal,Docente,False,2026-07-20,2026-07-20 10:01:37.475000-03:00,,2026-07-20 13:23:32.471000-03:00,201.9166,used,3742
Personal,Docente,False,2026-07-20,2026-07-20 10:07:04.507000-03:00,,2026-07-20 13:23:49.249000-03:00,196.7457,used,3743
Personal,Docente,False,2026-07-20,2026-07-20 08:30:51.408000-03:00,,2026-07-20 13:26:45.877000-03:00,295.9078166666667,used,3757
Personal,Docente,False,2026-07-20,2026-07-20 08:52:10.754000-03:00,,2026-07-20 13:26:48.520000-03:00,274.62943333333334,used,3758
Personal,Docente,False,2026-07-21,2026-07-21 10:59:49.515000-03:00,,2026-07-21 12:51:59.042000-03:00,112.15878333333333,used,4112
Personal,Docente,False,2026-07-21,2026-07-21 08:38:53.805000-03:00,,2026-07-21 13:06:10.750000-03:00,267.2824166666667,used,4167
Personal,Docente,False,2026-07-21,2026-07-21 08:27:23.695000-03:00,,2026-07-21 13:06:25.289000-03:00,279.02656666666667,used,4168
