event_date,reserved_at,canceled_at,checked_at,status,customer_id,customer_types
2026-07-01,2026-07-01 08:37:18.628-03,NULL,2026-07-01 12:00:59.54-03,used,1,Becas Nodocentes
2026-07-01,2026-07-01 09:01:50.622-03,NULL,2026-07-01 12:01:01.325-03,used,2,Becas Nodocentes
2026-07-01,2026-07-01 08:13:05.969-03,NULL,2026-07-01 12:01:04.363-03,used,3,Estudiante de Grado
2026-07-01,2026-07-01 08:48:05.199-03,NULL,2026-07-01 12:01:07.68-03,used,4,Estudiante de Grado
2026-07-01,2026-07-01 09:07:38.151-03,NULL,2026-07-01 12:01:08.532-03,used,5,Estudiante de Grado
2026-07-01,2026-07-01 08:46:25.242-03,NULL,2026-07-01 12:01:24.334-03,used,6,Becas Nutrirse Vianda
2026-07-01,2026-07-01 08:02:36.836-03,NULL,2026-07-01 12:01:26.313-03,used,7,Becas Nutrirse Vianda
2026-07-01,2026-07-01 08:12:20.773-03,NULL,2026-07-01 12:01:28.814-03,used,8,Estudiante de Grado
2026-07-01,2026-07-01 08:29:00.263-03,NULL,2026-07-01 12:01:30.637-03,used,9,Becas Nutrirse Vianda
2026-07-01,2026-07-01 08:04:02.642-03,NULL,2026-07-01 12:01:32.898-03,used,10,Estudiante de Grado
2026-07-01,2026-07-01 08:48:00.475-03,NULL,2026-07-01 12:01:35.705-03,used,11,Becas Nutrirse Vianda
2026-07-01,2026-07-01 08:00:29.997-03,NULL,2026-07-01 12:01:38.232-03,used,12,Estudiante de Grado
2026-07-01,2026-07-01 08:00:54.547-03,NULL,2026-07-01 12:01:41.562-03,used,13,Estudiante de Grado
2026-07-01,2026-07-01 08:10:34.779-03,NULL,2026-07-01 12:01:43.971-03,used,14,Estudiante de Grado
2026-07-01,2026-07-01 08:08:19.367-03,NULL,2026-07-01 12:01:46.458-03,used,15,Estudiante de Grado
2026-07-01,2026-07-01 10:58:25.615-03,NULL,2026-07-01 12:02:21.662-03,used,16,Estudiante de Grado
2026-07-01,2026-07-01 08:44:15.539-03,NULL,2026-07-01 12:02:26.826-03,used,17,Estudiante de Grado
2026-07-01,2026-07-01 08:03:02.116-03,NULL,2026-07-01 12:02:36.608-03,used,18,Estudiante de Grado
2026-07-01,2026-07-01 09:54:18.849-03,NULL,2026-07-01 12:02:39.143-03,used,19,Becas Nutrirse Vianda
2026-07-01,2026-07-01 08:50:11.726-03,NULL,2026-07-01 12:02:41.67-03,used,20,Becas Nutrirse Vianda
2026-07-01,2026-07-01 09:15:39.189-03,NULL,2026-07-01 12:02:44.261-03,used,21,Estudiante de Grado
2026-07-01,2026-07-01 09:24:21.966-03,NULL,2026-07-01 12:02:47.006-03,used,22,Becas Nutrirse Vianda
2026-07-01,2026-07-01 10:50:23.86-03,NULL,2026-07-01 12:02:50.78-03,used,23,Estudiante de Grado
2026-07-01,2026-07-01 08:59:10.151-03,NULL,2026-07-01 12:02:52.892-03,used,24,Becas Nutrirse Vianda
2026-07-01,2026-07-01 08:25:46.617-03,NULL,2026-07-01 12:02:55.501-03,used,25,Estudiante de Grado
2026-07-01,2026-07-01 08:18:06.505-03,NULL,2026-07-01 12:02:58.455-03,used,26,Estudiante de Grado
2026-07-01,2026-07-01 08:02:25.726-03,NULL,2026-07-01 12:03:00.22-03,used,27,Estudiante de Grado
2026-07-01,2026-07-01 08:00:11.949-03,NULL,2026-07-01 12:03:02.146-03,used,28,Estudiante de Grado
2026-07-01,2026-07-01 08:10:07.195-03,NULL,2026-07-01 12:03:05.011-03,used,29,Estudiante de Grado
2026-07-01,2026-07-01 08:14:37.044-03,NULL,2026-07-01 12:03:07.395-03,used,30,Estudiante de Grado
2026-07-01,2026-07-01 08:07:53.102-03,NULL,2026-07-01 12:03:09.924-03,used,31,Estudiante de Grado
2026-07-01,2026-07-01 08:05:48.752-03,NULL,2026-07-01 12:03:11.738-03,used,32,Estudiante de Grado
